,Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,month,year,Day_Perc_Change,Trend
0,JUBLFOOD,EQ,2017-05-15,986.35,991.85,1031.0,983.55,1029.6,1025.45,1009.72,576466,582068509.3,19888,115368,20.01,5,2017,0.0,Slight or No Change
1,JUBLFOOD,EQ,2017-05-16,1025.45,1028.5,1054.85,1028.5,1052.0,1050.65,1042.26,487510,508110696.2,15487,84859,17.41,5,2017,2.4574577014969012,Positive
2,JUBLFOOD,EQ,2017-05-17,1050.65,1044.0,1058.75,1024.2,1047.0,1049.05,1039.93,393751,409472571.4,15205,61936,15.73,5,2017,-0.15228667967449594,Slight or No Change
3,JUBLFOOD,EQ,2017-05-18,1049.05,1039.7,1049.15,1012.2,1014.1,1019.35,1033.8,381432,394324549.9,10345,40599,10.64,5,2017,-2.8311329297936116,Negative
4,JUBLFOOD,EQ,2017-05-19,1019.35,1022.0,1042.2,1011.0,1012.55,1018.1,1025.24,287852,295117054.1,9834,60049,20.86,5,2017,-0.12262716436944876,Slight or No Change
5,JUBLFOOD,EQ,2017-05-22,1018.1,1018.1,1038.0,1015.0,1022.85,1030.3,1026.6,321837,330398168.1,9940,87006,27.03,5,2017,1.1983105785286163,Positive
6,JUBLFOOD,EQ,2017-05-23,1030.3,1030.0,1030.0,990.0,990.0,993.15,1009.44,342845,346083144.0,12009,77703,22.66,5,2017,-3.6057458992526437,Among top Losers
7,JUBLFOOD,EQ,2017-05-24,993.15,995.0,1005.9,966.0,974.45,976.45,988.12,448045,442723272.9,12040,42627,9.51,5,2017,-1.6815184010471662,Negative
8,JUBLFOOD,EQ,2017-05-25,976.45,974.45,1024.0,965.25,1024.0,1014.95,998.09,524803,523802982.4,23985,109155,20.8,5,2017,3.94285421680578,Among Top gainers
9,JUBLFOOD,EQ,2017-05-26,1014.95,1024.0,1035.0,982.5,993.95,992.7,1013.2,391221,396385703.0,17661,72571,18.55,5,2017,-2.192226218040294,Negative
10,JUBLFOOD,EQ,2017-05-29,992.7,997.8,998.4,925.0,937.2,940.35,957.94,974901,933898388.2,24822,158323,16.24,5,2017,-5.273496524629795,Among top Losers
11,JUBLFOOD,EQ,2017-05-30,940.35,880.1,921.0,817.2,910.2,909.15,876.28,5504664,4823600441.0,135807,628329,11.41,5,2017,-3.317913542829798,Among top Losers
12,JUBLFOOD,EQ,2017-05-31,909.15,911.95,925.0,888.0,917.0,914.9,909.16,1195336,1086751064.0,35859,123904,10.37,5,2017,0.6324588901721384,Slight Positive
13,JUBLFOOD,EQ,2017-06-01,914.9,920.0,920.0,898.1,912.5,912.25,909.03,921483,837654417.5,22643,279276,30.31,6,2017,-0.2896491419827285,Slight or No Change
14,JUBLFOOD,EQ,2017-06-02,912.25,914.25,934.8,908.3,932.0,930.85,924.04,620511,573375608.4,19763,118969,19.17,6,2017,2.038914771170197,Positive
15,JUBLFOOD,EQ,2017-06-05,930.85,931.0,949.0,926.1,932.1,936.05,940.24,514033,483313619.6,13543,105374,20.5,6,2017,0.5586292098619383,Slight Positive
16,JUBLFOOD,EQ,2017-06-06,936.05,936.05,965.8,935.2,956.9,952.55,954.52,1196195,1141796685.0,34217,288991,24.16,6,2017,1.7627263500881396,Positive
17,JUBLFOOD,EQ,2017-06-07,952.55,957.2,961.35,945.0,956.45,955.2,952.61,472750,450345925.7,12611,72293,15.29,6,2017,0.2782006193900788,Slight or No Change
18,JUBLFOOD,EQ,2017-06-08,955.2,952.0,971.9,952.0,963.4,963.8,963.02,500353,481848465.2,11524,47326,9.46,6,2017,0.9003350083752082,Slight Positive
19,JUBLFOOD,EQ,2017-06-09,963.8,964.0,975.0,952.45,973.0,969.1,962.46,370792,356870831.6,12853,50945,13.74,6,2017,0.5499066196306357,Slight Positive
20,JUBLFOOD,EQ,2017-06-12,969.1,960.0,966.85,950.1,957.5,959.55,959.32,265930,255111838.5,7100,38470,14.47,6,2017,-0.9854504179135359,Slight Negative
21,JUBLFOOD,EQ,2017-06-13,959.55,961.15,973.0,953.0,970.7,970.05,965.68,421456,406990193.8,9885,51514,12.22,6,2017,1.0942629357511224,Positive
22,JUBLFOOD,EQ,2017-06-14,970.05,962.0,968.0,952.0,968.0,962.6,959.06,324857,311556021.7,11365,21369,6.58,6,2017,-0.7680016493995079,Slight Negative
23,JUBLFOOD,EQ,2017-06-15,962.6,959.95,964.9,953.0,959.0,959.25,958.04,231706,221983581.5,9126,32167,13.88,6,2017,-0.3480157905672132,Slight or No Change
24,JUBLFOOD,EQ,2017-06-16,959.25,963.0,968.75,925.4,943.0,938.2,945.96,496384,469558754.8,13784,86728,17.47,6,2017,-2.1944227260880855,Negative
25,JUBLFOOD,EQ,2017-06-19,938.2,940.1,944.95,918.6,923.5,924.65,927.95,656933,609603939.9,19540,236955,36.07,6,2017,-1.4442549562993068,Negative
26,JUBLFOOD,EQ,2017-06-20,924.65,923.5,930.45,920.0,925.0,924.0,924.82,291920,269972745.5,6213,73743,25.26,6,2017,-0.0702968690855954,Slight or No Change
27,JUBLFOOD,EQ,2017-06-21,924.0,923.0,938.1,914.75,927.05,926.2,927.72,460579,427287294.3,13193,72380,15.72,6,2017,0.23809523809523725,Slight or No Change
28,JUBLFOOD,EQ,2017-06-22,926.2,929.9,929.9,909.6,914.0,913.25,918.56,363307,333719330.1,11738,51771,14.25,6,2017,-1.3981861369034787,Negative
29,JUBLFOOD,EQ,2017-06-23,913.25,914.0,934.5,901.5,917.0,922.95,920.6,576549,530769176.8,17602,147377,25.56,6,2017,1.0621407062688215,Positive
30,JUBLFOOD,EQ,2017-06-27,922.95,918.0,934.5,918.0,929.0,929.0,927.94,472073,438055571.1,14515,200907,42.56,6,2017,0.6555067988515129,Slight Positive
31,JUBLFOOD,EQ,2017-06-28,929.0,921.05,942.0,915.05,942.0,938.0,934.35,316313,295547578.5,8600,67830,21.44,6,2017,0.9687836383207804,Slight Positive
32,JUBLFOOD,EQ,2017-06-29,938.0,946.55,957.6,936.95,951.0,952.1,948.97,517249,490855347.6,15897,118293,22.87,6,2017,1.50319829424308,Positive
33,JUBLFOOD,EQ,2017-06-30,952.1,945.0,952.0,937.3,947.5,946.4,943.57,365054,344452426.9,27252,100981,27.66,6,2017,-0.5986766095998353,Slight Negative
34,JUBLFOOD,EQ,2017-07-03,946.4,946.4,1006.85,946.4,1006.0,999.25,984.95,1016369,1001075847.0,29622,245785,24.18,7,2017,5.584319526627213,Among Top gainers
35,JUBLFOOD,EQ,2017-07-04,999.25,1012.0,1044.0,1012.0,1025.0,1025.45,1032.8,1289457,1331745337.0,49531,203516,15.78,7,2017,2.621966474856152,Positive
36,JUBLFOOD,EQ,2017-07-05,1025.45,1031.7,1057.0,1028.05,1048.05,1048.95,1043.43,550836,574759859.3,17081,110064,19.98,7,2017,2.2916768248086195,Positive
37,JUBLFOOD,EQ,2017-07-06,1048.95,1045.8,1091.4,1039.2,1080.0,1077.85,1073.73,876216,940821133.7,27664,140650,16.05,7,2017,2.755136088469401,Positive
38,JUBLFOOD,EQ,2017-07-07,1077.85,1077.0,1102.0,1065.3,1100.1,1093.35,1090.96,683694,745885941.0,18412,95515,13.97,7,2017,1.4380479658579581,Positive
39,JUBLFOOD,EQ,2017-07-10,1093.35,1134.0,1134.0,1099.9,1115.0,1112.0,1111.31,129919,144380289.1,5133,22435,17.27,7,2017,1.7057666803859783,Positive
40,JUBLFOOD,EQ,2017-07-11,1112.0,1115.0,1126.2,1085.1,1093.1,1090.75,1100.6,409566,450770245.2,12933,60743,14.83,7,2017,-1.9109712230215847,Negative
41,JUBLFOOD,EQ,2017-07-12,1090.75,1093.1,1114.0,1090.05,1103.2,1106.1,1102.12,320543,353277039.3,9308,43191,13.47,7,2017,1.4072885629154097,Positive
42,JUBLFOOD,EQ,2017-07-13,1106.1,1110.1,1118.6,1095.3,1117.9,1111.5,1106.72,278018,307687741.6,12283,60341,21.7,7,2017,0.4882017900732283,Slight or No Change
43,JUBLFOOD,EQ,2017-07-14,1111.5,1115.35,1178.5,1105.0,1168.65,1164.6,1155.3,1579818,1825163863.0,45916,377304,23.88,7,2017,4.777327935222675,Among Top gainers
44,JUBLFOOD,EQ,2017-07-17,1164.6,1187.0,1285.9,1161.0,1269.0,1272.7,1223.24,6933168,8480935249.0,188338,444273,6.41,7,2017,9.282156963764399,Bull run
45,JUBLFOOD,EQ,2017-07-18,1272.7,1265.1,1334.95,1247.35,1322.0,1325.1,1312.75,5504940,7226606536.0,137752,696183,12.65,7,2017,4.117231083523198,Among Top gainers
46,JUBLFOOD,EQ,2017-07-19,1325.1,1323.1,1329.05,1282.55,1288.95,1290.0,1293.74,1888442,2443145017.0,53320,408242,21.62,7,2017,-2.648856690061119,Negative
47,JUBLFOOD,EQ,2017-07-20,1290.0,1290.0,1318.9,1286.95,1298.7,1298.1,1303.17,1003031,1307116305.0,26837,95953,9.57,7,2017,0.6279069767441747,Slight Positive
48,JUBLFOOD,EQ,2017-07-21,1298.1,1300.0,1309.45,1237.5,1250.25,1254.0,1264.28,1135921,1436123268.0,30915,136171,11.99,7,2017,-3.3972729373699995,Among top Losers
49,JUBLFOOD,EQ,2017-07-24,1254.0,1252.0,1266.65,1233.25,1251.95,1252.2,1249.87,708924,886061970.7,19291,70314,9.92,7,2017,-0.14354066985645675,Slight or No Change
50,JUBLFOOD,EQ,2017-07-25,1252.2,1250.0,1308.0,1235.3,1295.9,1296.35,1281.34,1587139,2033671192.0,44968,148577,9.36,7,2017,3.525794601501353,Among Top gainers
51,JUBLFOOD,EQ,2017-07-26,1296.35,1302.25,1312.4,1270.8,1277.0,1282.85,1295.13,1266049,1639693749.0,39680,188110,14.86,7,2017,-1.0413854283179647,Negative
52,JUBLFOOD,EQ,2017-07-27,1282.85,1283.0,1298.7,1268.1,1287.9,1278.45,1281.2,872533,1117891366.0,30444,236799,27.14,7,2017,-0.342986319522931,Slight or No Change
53,JUBLFOOD,EQ,2017-07-28,1278.45,1281.95,1318.0,1260.0,1313.0,1312.6,1297.88,1067103,1384975303.0,28488,138257,12.96,7,2017,2.671203410379741,Positive
54,JUBLFOOD,EQ,2017-07-31,1312.6,1322.0,1338.0,1304.5,1310.0,1317.75,1322.1,1182849,1563848709.0,36589,238904,20.2,7,2017,0.39235105896693323,Slight or No Change
55,JUBLFOOD,EQ,2017-08-01,1317.75,1307.6,1321.25,1283.8,1293.0,1293.95,1301.52,563946,733989347.3,16853,57357,10.17,8,2017,-1.8061088977423645,Negative
56,JUBLFOOD,EQ,2017-08-02,1293.95,1280.2,1306.0,1269.65,1280.0,1280.75,1290.43,662368,854736351.3,19495,68576,10.35,8,2017,-1.0201321534835217,Negative
57,JUBLFOOD,EQ,2017-08-03,1280.75,1286.0,1293.9,1250.0,1250.6,1254.8,1269.0,541181,686759611.9,14982,59417,10.98,8,2017,-2.026156548897129,Negative
58,JUBLFOOD,EQ,2017-08-04,1254.8,1256.0,1286.0,1246.8,1279.95,1279.3,1265.86,789359,999217861.4,25369,138925,17.6,8,2017,1.9525023908192551,Positive
59,JUBLFOOD,EQ,2017-08-07,1279.3,1270.1,1286.0,1258.0,1265.0,1264.55,1269.34,352060,446883928.1,11858,55029,15.63,8,2017,-1.1529742828109146,Negative
60,JUBLFOOD,EQ,2017-08-08,1264.55,1275.2,1345.0,1255.0,1337.2,1330.8,1302.66,1674075,2180743309.0,50507,196015,11.71,8,2017,5.239017832430504,Among Top gainers
61,JUBLFOOD,EQ,2017-08-09,1330.8,1342.0,1355.75,1283.25,1297.0,1299.2,1325.17,1763170,2336496629.0,47613,345045,19.57,8,2017,-2.3745115719867704,Negative
62,JUBLFOOD,EQ,2017-08-10,1299.2,1298.0,1352.4,1267.2,1320.0,1317.95,1323.71,1926331,2549898456.0,53522,371359,19.28,8,2017,1.4431958128078737,Positive
63,JUBLFOOD,EQ,2017-08-11,1317.95,1289.0,1336.2,1269.95,1298.0,1296.6,1303.81,1223225,1594854511.0,35874,132935,10.87,8,2017,-1.6199400584240742,Negative
