Date,Unnamed: 0,Symbol,Series,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,month,year,Day_Perc_Change,Trend,volume scaled,sma_21,sma_34,MA,roll_CP_std,UP_band,LO_band,buy,sell,MA_std
2017-05-15,0,JUBLFOOD,EQ,986.35,991.85,1031.0,983.55,1029.6,1025.45,1009.72,576466,582068509.3,19888,115368,20.01,5,2017,0.0,Slight or No Change,0.04838057322818647,,,,,,,,,
2017-05-16,1,JUBLFOOD,EQ,1025.45,1028.5,1054.85,1028.5,1052.0,1050.65,1042.26,487510,508110696.2,15487,84859,17.41,5,2017,2.457457701496901,Positive,0.038966881278016945,,,,,,,,,
2017-05-17,2,JUBLFOOD,EQ,1050.65,1044.0,1058.75,1024.2,1047.0,1049.05,1039.93,393751,409472571.4,15205,61936,15.73,5,2017,-0.15228667967449594,Slight or No Change,0.029044915996799883,,,,,,,,,
2017-05-18,3,JUBLFOOD,EQ,1049.05,1039.7,1049.15,1012.2,1014.1,1019.35,1033.8,381432,394324549.9,10345,40599,10.64,5,2017,-2.831132929793612,Negative,0.027741268450438325,,,,,,,,,
2017-05-19,4,JUBLFOOD,EQ,1019.35,1022.0,1042.2,1011.0,1012.55,1018.1,1025.24,287852,295117054.1,9834,60049,20.86,5,2017,-0.12262716436944875,Slight or No Change,0.017838245689782893,,,,,,,,,
2017-05-22,5,JUBLFOOD,EQ,1018.1,1018.1,1038.0,1015.0,1022.85,1030.3,1026.6,321837,330398168.1,9940,87006,27.03,5,2017,1.1983105785286163,Positive,0.021434678993062173,,,,,,,,,
2017-05-23,6,JUBLFOOD,EQ,1030.3,1030.0,1030.0,990.0,990.0,993.15,1009.44,342845,346083144.0,12009,77703,22.66,5,2017,-3.605745899252644,Among top Losers,0.023657832467691896,,,,,,,,,
2017-05-24,7,JUBLFOOD,EQ,993.15,995.0,1005.9,966.0,974.45,976.45,988.12,448045,442723272.9,12040,42627,9.51,5,2017,-1.6815184010471662,Negative,0.03479053170279503,,,,,,,,,
2017-05-25,8,JUBLFOOD,EQ,976.45,974.45,1024.0,965.25,1024.0,1014.95,998.09,524803,523802982.4,23985,109155,20.8,5,2017,3.94285421680578,Among Top gainers,0.04291338082720612,,,,,,,,,
2017-05-26,9,JUBLFOOD,EQ,1014.95,1024.0,1035.0,982.5,993.95,992.7,1013.2,391221,396385703.0,17661,72571,18.55,5,2017,-2.192226218040294,Negative,0.028777180929643882,,,,,,,,,
2017-05-29,10,JUBLFOOD,EQ,992.7,997.8,998.4,925.0,937.2,940.35,957.94,974901,933898388.2,24822,158323,16.24,5,2017,-5.273496524629795,Among top Losers,0.09054461333976743,,,,,,,,,
2017-05-30,11,JUBLFOOD,EQ,940.35,880.1,921.0,817.2,910.2,909.15,876.28,5504664,4823600441.0,135807,628329,11.41,5,2017,-3.3179135428297983,Among top Losers,0.5699028746068633,,,,,,,,,
2017-05-31,12,JUBLFOOD,EQ,909.15,911.95,925.0,888.0,917.0,914.9,909.16,1195336,1086751064.0,35859,123904,10.37,5,2017,0.6324588901721384,Slight Positive,0.11387195702693435,,,,,,,,,
2017-06-01,13,JUBLFOOD,EQ,914.9,920.0,920.0,898.1,912.5,912.25,909.03,921483,837654417.5,22643,279276,30.31,6,2017,-0.2896491419827285,Slight or No Change,0.08489169957797334,,,989.0571428571429,50.531741194341066,1090.120625245825,887.9936604684608,,,50.531741194341066
2017-06-02,14,JUBLFOOD,EQ,912.25,914.25,934.8,908.3,932.0,930.85,924.04,620511,573375608.4,19763,118969,19.17,6,2017,2.0389147711701967,Positive,0.053041597351856797,,,982.3000000000001,51.60452052351164,1085.5090410470234,879.0909589529767,,,51.60452052351164
